#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.51645    -0.51645           0
           2   -0.515626   -0.516038 0.000291328
           3   -0.516035   -0.516037  0.00019422
           4    -0.51639   -0.516125 0.000164557
           5   -0.516715   -0.516243  0.00016873
           6   -0.516098   -0.516219 0.000142324
           7   -0.516367    -0.51624 0.000123555
           8    -0.51675   -0.516304 0.000123431
           9   -0.515855   -0.516254 0.000119361
          10   -0.516295   -0.516258 0.000107496
          11   -0.516752   -0.516303 0.000106687
          12   -0.516277   -0.516301 9.78193e-05
          13   -0.516933   -0.516349 0.000101658
          14    -0.51714   -0.516406 0.000108956
          15   -0.514735   -0.516295 0.000148055
          16   -0.516878   -0.516331 0.000143216
          17   -0.516998    -0.51637 0.000140057
          18    -0.51662   -0.516384 0.000132961
          19   -0.516395   -0.516385 0.000125965
          20   -0.517787   -0.516455 0.000137811
