#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0146126    0.238574           0
           2   0.0146858    0.239171 0.000422516
           3   0.0146381    0.239111 0.000285988
           4   0.0144892    0.238472  0.00059291
           5   0.0147238    0.238855 0.000585173
           6    0.014717    0.239092 0.000533451
           7   0.0147178    0.239264 0.000483915
           8   0.0146759    0.239306 0.000425322
           9    0.014521    0.239059 0.000444362
          10   0.0146491     0.23907 0.000400062
          11   0.0146885    0.239137 0.000369351
          12   0.0146431    0.239132 0.000338613
          13   0.0148016    0.239326 0.000364123
          14   0.0146278     0.23929 0.000339896
          15   0.0146668    0.239301  0.00031742
          16   0.0144842    0.239125 0.000343171
          17   0.0146943    0.239171 0.000326059
          18   0.0145565    0.239087 0.000318597
          19   0.0147764    0.239201 0.000321482
          20   0.0147412    0.239274 0.000313714
