#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.79271     1.79271           0
           2     1.78453     1.78862  0.00289469
           3     1.79882     1.79202  0.00337967
           4     1.80054     1.79415  0.00313451
           5     1.79485     1.79429  0.00251077
           6     1.80181     1.79554  0.00238473
           7     1.81978       1.799  0.00380196
           8     1.77558     1.79608  0.00430911
           9     1.79984      1.7965  0.00385056
          10     1.78934     1.79578  0.00353138
          11     1.78607      1.7949  0.00331886
          12     1.80756     1.79595  0.00320575
          13     1.79957     1.79623  0.00297121
          14     1.79741     1.79632  0.00276018
          15     1.79327     1.79611   0.0025836
          16      1.7921     1.79586  0.00243424
          17     1.79552     1.79584  0.00229114
          18     1.78869     1.79544  0.00219807
          19     1.78184     1.79473  0.00219588
          20     1.80917     1.79545  0.00220165
