#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0491988   0.0491988           0
           2   0.0516184   0.0504086 0.000855458
           3   0.0549888   0.0519353  0.00137084
           4    0.056722    0.053132  0.00145981
           5   0.0618232   0.0548702  0.00194449
           6   0.0568872   0.0552064  0.00164921
           7   0.0556748   0.0552733  0.00141497
           8   0.0563116   0.0554031  0.00124403
           9   0.0561428   0.0554853  0.00110852
          10    0.056596   0.0555964  0.00100322
          11   0.0543588   0.0554839 0.000918303
          12   0.0574664   0.0556491  0.00085651
          13   0.0513024   0.0553147 0.000853395
          14   0.0523472   0.0551027 0.000818339
          15   0.0523348   0.0549182 0.000784312
          16   0.0539952   0.0548605 0.000737411
          17   0.0524144   0.0547166 0.000707933
          18   0.0549988   0.0547323 0.000668777
          19    0.052648   0.0546226 0.000642513
          20   0.0534172   0.0545623 0.000613207
