#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0155455    0.204412           0
           2   0.0156698    0.205229 0.000577563
           3   0.0154929    0.204726 0.000562778
           4   0.0155735    0.204739 0.000422245
           5   0.0155044    0.204566 0.000371775
           6   0.0154662    0.204366 0.000359372
           7   0.0153493    0.204004 0.000455243
           8   0.0154345    0.203873 0.000416912
           9   0.0155975    0.204009 0.000392105
          10   0.0154979    0.203986 0.000353525
          11   0.0156109    0.204103 0.000340151
          12   0.0154397    0.204013  0.00032356
          13   0.0155214    0.204019 0.000298731
          14   0.0155392    0.204041 0.000278214
          15   0.0155149    0.204039 0.000259674
          16   0.0154091     0.20395 0.000258178
          17   0.0153795    0.203849 0.000262107
          18   0.0154662    0.203822 0.000248899
          19    0.015601    0.203892 0.000245281
          20   0.0155442    0.203917 0.000234301
