#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0752124   0.0752124           0
           2   0.0767936    0.076003 0.000559039
           3   0.0707332   0.0742464  0.00148189
           4   0.0787808     0.07538  0.00148291
           5   0.0779132   0.0758866  0.00126993
           6   0.0747476   0.0756968  0.00107237
           7   0.0807764   0.0764225  0.00113852
           8    0.081636   0.0770741  0.00116792
           9   0.0829624   0.0777284  0.00120758
          10    0.081024    0.078058   0.0011309
          11   0.0822424   0.0784384  0.00109019
          12   0.0841996   0.0789185  0.00109999
          13   0.0880936   0.0796242  0.00122098
          14    0.082768   0.0798488  0.00115423
          15   0.0766148   0.0796332  0.00109723
          16   0.0838008   0.0798937  0.00105912
          17   0.0810836   0.0799637 0.000999133
          18   0.0829312   0.0801285  0.00095713
          19   0.0793864   0.0800895 0.000907552
          20   0.0754992     0.07986 0.000890723
