#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0122991    0.313752           0
           2   0.0124703    0.315936  0.00154427
           3   0.0124315    0.316334   0.0010796
           4   0.0123971    0.316313 0.000809894
           5   0.0125405    0.317033 0.000913178
           6   0.0124639    0.317187 0.000773851
           7   0.0124077    0.317092  0.00066908
           8   0.0126089    0.317662 0.000792114
           9   0.0123588    0.317397 0.000747217
          10     0.01243    0.317366 0.000673118
          11    0.012455    0.317399 0.000612731
          12   0.0124365    0.317388 0.000561783
          13   0.0125415    0.317584 0.000551686
          14   0.0124068    0.317506 0.000517673
          15   0.0124114    0.317447 0.000486538
          16    0.012448    0.317453 0.000456172
          17   0.0125015     0.31754 0.000437377
          18   0.0123333    0.317378 0.000442035
          19   0.0124553    0.317396 0.000419172
          20   0.0125335    0.317513 0.000414146
