#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.804652   -0.804652           0
           2   -0.804276   -0.804464 0.000132936
           3   -0.805753   -0.804894  0.00036179
           4   -0.804074   -0.804689 0.000324261
           5   -0.804031   -0.804557  0.00028482
           6   -0.803835   -0.804437 0.000261532
           7   -0.805069   -0.804527 0.000239248
           8    -0.80495    -0.80458 0.000215092
           9   -0.804255   -0.804544 0.000194195
          10    -0.80485   -0.804574 0.000177167
          11    -0.80493   -0.804607  0.00016399
          12   -0.804889    -0.80463 0.000151999
          13   -0.803939   -0.804577 0.000149313
          14   -0.804713   -0.804587 0.000138962
          15    -0.80299    -0.80448 0.000165541
          16   -0.805694   -0.804556 0.000171686
          17    -0.80481   -0.804571 0.000162237
          18   -0.806685   -0.804689 0.000191052
          19   -0.805382   -0.804725 0.000184446
          20   -0.803376   -0.804658 0.000187151
