#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.115699    0.115699           0
           2    0.124617    0.120158  0.00315285
           3    0.126082    0.122133  0.00264906
           4    0.125722     0.12303   0.0021334
           5    0.120176    0.122459  0.00178147
           6     0.12003    0.122054  0.00152986
           7    0.128712    0.123005  0.00157948
           8    0.132494    0.124192  0.00177228
           9    0.127923    0.124606  0.00162313
          10    0.116826    0.123828  0.00163669
          11    0.126891    0.124107   0.0015114
          12    0.137418    0.125216  0.00174567
          13    0.133091    0.125822  0.00171329
          14    0.125107    0.125771  0.00159167
          15    0.123616    0.125627  0.00149202
          16     0.13693    0.126333  0.00155705
          17    0.128019    0.126432  0.00146861
          18    0.133098    0.126803  0.00143294
          19    0.116067    0.126238  0.00146469
          20    0.134632    0.126657  0.00145035
