#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00422769    0.431397           0
           2  0.00426546    0.433324  0.00136247
           3   0.0041501    0.430042    0.002829
           4    0.004321    0.432761  0.00316968
           5  0.00425292    0.433004  0.00254497
           6  0.00418122    0.431946  0.00233037
           7  0.00424578    0.432131  0.00200483
           8  0.00425715    0.432415  0.00177423
           9  0.00423389    0.432372  0.00157762
          10  0.00420606    0.432054  0.00145159
          11  0.00424855    0.432188  0.00132577
          12  0.00415565    0.431509  0.00137801
          13  0.00425252    0.431696  0.00128454
          14  0.00420163    0.431484  0.00121003
          15   0.0042722    0.431781  0.00116524
          16   0.0042538    0.431924  0.00110109
          17  0.00419255    0.431682  0.00106256
          18  0.00420068    0.431513  0.00101687
          19  0.00424023    0.431574 0.000965193
          20   0.0042188     0.43152 0.000918455
