#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.36723     4.36723           0
           2     4.47779     4.42251   0.0390872
           3     4.46511     4.43671   0.0285207
           4     4.40837     4.42962    0.022253
           5     4.44393     4.43249   0.0179855
           6     4.44087     4.43388    0.015042
           7     4.41712     4.43149   0.0130825
           8     4.29434     4.41434   0.0197029
           9     4.37033     4.40945   0.0181105
          10     4.49736     4.41824   0.0183092
          11     4.39666     4.41628   0.0167495
          12     4.51567     4.42456   0.0172804
          13      4.4774     4.42863   0.0164222
          14     4.46107     4.43095   0.0154119
          15     4.37455     4.42719   0.0148359
          16     4.38074     4.42428   0.0141898
          17     4.37503     4.42139   0.0136477
          18     4.46944     4.42406    0.013148
          19     4.34818     4.42006   0.0130484
          20     4.35155     4.41664   0.0128377
