#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0374724   0.0374724           0
           2   0.0352448   0.0363586 0.000787576
           3    0.032826   0.0351811  0.00109548
           4   0.0350024   0.0351364 0.000822517
           5   0.0332436   0.0347578 0.000740019
           6   0.0356016   0.0348985 0.000629903
           7   0.0328532   0.0346063 0.000603891
           8   0.0353532   0.0346996 0.000535573
           9   0.0359004   0.0348331 0.000492402
          10   0.0312716   0.0344769 0.000557269
          11   0.0325392   0.0343008 0.000533725
          12   0.0327844   0.0341744 0.000503985
          13    0.034688   0.0342139 0.000466762
          14   0.0309016   0.0339773 0.000489727
          15   0.0372844   0.0341978  0.00050427
          16    0.032882   0.0341155 0.000479412
          17    0.034264   0.0341243 0.000451291
          18    0.033934   0.0341137 0.000426343
          19   0.0358188   0.0342035 0.000413241
          20   0.0326452   0.0341255 0.000399856
