#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.493622   -0.493622           0
           2   -0.492902   -0.493262 0.000254841
           3   -0.493439   -0.493321 0.000176607
           4   -0.493246   -0.493302 0.000133438
           5   -0.493822   -0.493406 0.000141499
           6   -0.492879   -0.493318 0.000142597
           7   -0.493631   -0.493363 0.000129038
           8   -0.493553   -0.493387 0.000115067
           9   -0.492967    -0.49334 0.000111327
          10   -0.493398   -0.493346 0.000100342
          11   -0.493415   -0.493352 9.14173e-05
          12   -0.492964    -0.49332 8.93404e-05
          13   -0.494362     -0.4934 0.000112861
          14   -0.493795   -0.493428 0.000108271
          15   -0.492349   -0.493356  0.00012266
          16   -0.493666   -0.493376 0.000116507
          17   -0.493772   -0.493399 0.000111962
          18   -0.493452   -0.493402 0.000105781
          19   -0.493537   -0.493409 0.000100451
          20   -0.494332   -0.493455 0.000105498
