#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.123852    0.123852           0
           2       0.135    0.129426  0.00394113
           3    0.125252    0.128035  0.00286245
           4      0.1188    0.125726  0.00293368
           5    0.126994     0.12598  0.00235789
           6     0.12451    0.125735   0.0019776
           7    0.119828    0.124891  0.00186642
           8     0.12485    0.124886  0.00163313
           9    0.140348    0.126604  0.00217508
          10     0.12397    0.126341  0.00197345
          11    0.124747    0.126196  0.00179935
          12     0.10837     0.12471  0.00217791
          13    0.115293    0.123986  0.00212745
          14     0.13162    0.124531  0.00204418
          15    0.126229    0.124644  0.00191104
          16    0.134622    0.125268  0.00189062
          17    0.119127    0.124907  0.00181358
          18    0.132088    0.125306  0.00175617
          19    0.139285    0.126041  0.00181132
          20    0.123909    0.125935  0.00172389
