#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.32719     7.32719           0
           2     7.32412     7.32565  0.00108498
           3     7.35839     7.33656  0.00893892
           4     7.19433     7.30101   0.0315148
           5     7.23956     7.28872    0.027504
           6     7.40065     7.30737   0.0285541
           7     7.53178     7.33943   0.0384704
           8     7.36243      7.3423   0.0337688
           9     7.44417     7.35362    0.031857
          10     7.35056     7.35332   0.0286728
          11     7.35288     7.35328   0.0260662
          12     7.21545     7.34179   0.0263031
          13     7.43381     7.34887   0.0252143
          14      7.2653      7.3429   0.0241095
          15     7.44697     7.34984   0.0234792
          16     7.54414     7.36198   0.0249555
          17     7.33051     7.36013   0.0235561
          18      7.3886     7.36171   0.0223004
          19     7.66881     7.37788   0.0263407
          20     7.41705     7.37983   0.0250964
