#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.036004    0.036004           0
           2   0.0350868   0.0355454 0.000324279
           3   0.0332652   0.0347853 0.000657169
           4   0.0349064   0.0348156 0.000493573
           5   0.0310464   0.0340618 0.000781366
           6   0.0312216   0.0335884 0.000781477
           7   0.0303284   0.0331227  0.00079661
           8   0.0340656   0.0332405 0.000705699
           9    0.034788   0.0334125 0.000647896
          10    0.035624   0.0336336 0.000619701
          11   0.0311072    0.033404  0.00060443
          12   0.0325672   0.0333342 0.000558069
          13     0.03391   0.0333785 0.000516895
          14   0.0293412   0.0330901 0.000554615
          15   0.0341912   0.0331635 0.000522475
          16    0.035602   0.0333159 0.000511566
          17   0.0288012   0.0330504 0.000546075
          18    0.033602    0.033081 0.000516596
          19      0.0378   0.0333294 0.000545856
          20   0.0322784   0.0332768 0.000521087
