#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.804431   -0.804431           0
           2   -0.805031   -0.804731 0.000212132
           3   -0.805019   -0.804827 0.000161691
           4   -0.804607   -0.804772 0.000130287
           5   -0.804114    -0.80464 0.000157302
           6   -0.804294   -0.804583 0.000141265
           7   -0.803247   -0.804392 0.000214162
           8   -0.804757   -0.804438 0.000192185
           9   -0.803274   -0.804308 0.000209885
          10   -0.805342   -0.804412 0.000212854
          11   -0.805025   -0.804467 0.000200669
          12   -0.804026   -0.804431 0.000187282
          13   -0.805434   -0.804508 0.000188119
          14   -0.803959   -0.804469 0.000178718
          15   -0.803786   -0.804423 0.000172508
          16   -0.804881   -0.804452  0.00016408
          17   -0.806954   -0.804599 0.000210315
          18   -0.805666   -0.804658 0.000206811
          19   -0.804718   -0.804661  0.00019595
          20   -0.804964   -0.804676 0.000186736
