#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0043324    0.442082           0
           2  0.00416243     0.43341  0.00613225
           3  0.00407829    0.427657  0.00622701
           4  0.00418947    0.427617  0.00467039
           5  0.00427046    0.429246  0.00401028
           6  0.00410704    0.427552  0.00368208
           7  0.00417719    0.427365  0.00316081
           8  0.00413654    0.426707  0.00283352
           9  0.00418965    0.426797  0.00252011
          10  0.00422734    0.427253  0.00230907
          11  0.00426938    0.428016  0.00222178
          12  0.00421219    0.428166  0.00204168
          13  0.00443137    0.430014  0.00258876
          14  0.00421983    0.430055  0.00240418
          15  0.00410958    0.429341  0.00234753
          16  0.00423698    0.429529   0.0022083
          17  0.00436278     0.43045  0.00226222
          18  0.00419031     0.43029  0.00214214
          19  0.00423413    0.430383  0.00203141
          20  0.00415395    0.430058  0.00195574
