#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.06565     0.06565           0
           2   0.0615208   0.0635854  0.00145989
           3     0.07029   0.0658203  0.00206809
           4   0.0637928   0.0653134  0.00161198
           5   0.0666512    0.065581   0.0013116
           6   0.0624008   0.0650509  0.00119531
           7   0.0635252    0.064833  0.00104423
           8   0.0622504   0.0645101 0.000962311
           9   0.0707668   0.0652053  0.00107762
          10   0.0631904   0.0650038 0.000988519
          11   0.0621972   0.0647487    0.000931
          12   0.0621696   0.0645338 0.000877874
          13   0.0640216   0.0644944 0.000811229
          14   0.0650056   0.0645309 0.000754105
          15   0.0654868   0.0645946 0.000706519
          16    0.068332   0.0648282 0.000699911
          17   0.0652048   0.0648504  0.00065909
          18   0.0653912   0.0648804 0.000623159
          19   0.0618628   0.0647216 0.000610264
          20   0.0701968   0.0649953 0.000638208
