#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.26207     3.26207           0
           2     3.29216     3.27712   0.0106387
           3     3.20905     3.25443   0.0198364
           4     3.22167     3.24624   0.0164813
           5     3.20853      3.2387   0.0148102
           6     3.25266     3.24102   0.0125234
           7     3.25735     3.24336   0.0109493
           8     3.27515     3.24733   0.0102764
           9     3.26957      3.2498  0.00942711
          10     3.31081      3.2559   0.0102705
          11     3.23316     3.25384  0.00954262
          12      3.2495     3.25347  0.00875425
          13     3.28203     3.25567  0.00835195
          14     3.24665     3.25503  0.00778021
          15     3.25419     3.25497  0.00726172
          16      3.3163      3.2588  0.00775378
          17     3.26502     3.25917  0.00730631
          18     3.22436     3.25724  0.00715179
          19     3.20852     3.25467  0.00722036
          20      3.2478     3.25433   0.0068675
