#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0153938     0.21321           0
           2   0.0153489      0.2129   0.0002197
           3   0.0154143    0.213098 0.000218446
           4   0.0153177    0.212863 0.000261518
           5   0.0153477    0.212804 0.000215606
           6   0.0153195    0.212701 0.000203136
           7   0.0153678    0.212722 0.000175237
           8   0.0153317    0.212676 0.000159356
           9   0.0152275    0.212479  0.00023322
          10   0.0153136    0.212441 0.000212962
          11   0.0152534    0.212334 0.000218747
          12   0.0153846    0.212397 0.000209242
          13   0.0153976    0.212463 0.000203478
          14   0.0154164    0.212539 0.000202533
          15   0.0153461     0.21254 0.000189032
          16   0.0151963    0.212411 0.000216854
          17   0.0153392    0.212413 0.000204114
          18     0.01535    0.212424 0.000193047
          19   0.0153511    0.212434  0.00018316
          20    0.015388    0.212469 0.000177271
