#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0144112    0.249329           0
           2   0.0145148    0.250225 0.000633655
           3   0.0143969    0.249844 0.000524836
           4   0.0144176    0.249743 0.000403203
           5   0.0144609    0.249832 0.000332292
           6   0.0144514    0.249864 0.000278463
           7   0.0143806    0.249712 0.000277096
           8   0.0143455    0.249522 0.000300659
           9   0.0144526     0.24958 0.000272818
          10   0.0143862    0.249512  0.00025396
          11   0.0144889    0.249617 0.000251855
          12   0.0143173    0.249458 0.000276771
          13   0.0143216    0.249329 0.000284046
          14   0.0144022    0.249318 0.000263976
          15   0.0144718    0.249388 0.000255666
          16   0.0142751    0.249237 0.000280683
          17   0.0143046    0.249134 0.000282487
          18   0.0143629    0.249099 0.000269034
          19   0.0144346    0.249132 0.000256941
          20   0.0144532    0.249178 0.000248206
