#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.46399     4.46399           0
           2      4.3696     4.41679   0.0333705
           3     4.28785     4.37381   0.0415516
           4     4.48556     4.40175   0.0394528
           5     4.37958     4.39731   0.0318103
           6     4.31419     4.38346   0.0293708
           7     4.44826     4.39272   0.0265937
           8     4.46622     4.40191   0.0248058
           9     4.47882     4.41045   0.0234756
          10     4.38181     4.40759   0.0213021
          11     4.44609     4.41109    0.019651
          12     4.36056     4.40688    0.018459
          13     4.38428     4.40514   0.0171207
          14     4.36043     4.40194   0.0161929
          15     4.46274       4.406   0.0156124
          16     4.47181     4.41011   0.0151687
          17     4.40458     4.40979     0.01428
          18     4.33822     4.40581   0.0140292
          19     4.36172     4.40349   0.0134814
          20     4.42826     4.40473   0.0128641
