#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.015108    0.220716           0
           2   0.0151699    0.221168 0.000319562
           3   0.0152249    0.221587 0.000402923
           4    0.015095    0.221321 0.000379621
           5   0.0152835    0.221713 0.000463743
           6    0.015131    0.221603 0.000399349
           7    0.015181    0.221628 0.000343118
           8   0.0151917    0.221667 0.000302401
           9   0.0150665    0.221494 0.000314478
          10   0.0150974    0.221401 0.000296528
          11   0.0152626    0.221544 0.000302109
          12   0.0151453     0.22152 0.000277855
          13   0.0152895    0.221662 0.000290546
          14   0.0152261    0.221718 0.000275065
          15   0.0150945    0.221638 0.000268083
          16   0.0148665     0.22136 0.000368342
          17   0.0151175     0.22133 0.000347872
          18    0.015068    0.221264 0.000334862
          19   0.0151678    0.221281 0.000317675
          20   0.0151722    0.221299  0.00030234
