#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0278088   0.0278088           0
           2   0.0285028   0.0281558 0.000245366
           3    0.026034   0.0274485 0.000600201
           4   0.0278232   0.0275422 0.000457401
           5   0.0247172   0.0269772 0.000623922
           6   0.0265072   0.0268989 0.000524829
           7   0.0247872   0.0265972   0.0005295
           8   0.0278172   0.0267497 0.000484776
           9   0.0286288   0.0269585 0.000473745
          10   0.0287456   0.0271372 0.000458842
          11   0.0244272   0.0268908 0.000478721
          12   0.0258024   0.0268001 0.000447338
          13   0.0262492   0.0267578  0.00041493
          14   0.0227212   0.0264694 0.000475019
          15     0.02715   0.0265148 0.000445513
          16   0.0278616    0.026599 0.000425546
          17   0.0212172   0.0262824 0.000504714
          18   0.0273856   0.0263437 0.000480381
          19   0.0288256   0.0264743 0.000472524
          20   0.0268396   0.0264926 0.000449251
