#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.052014    0.052014           0
           2   0.0507464   0.0513802 0.000448164
           3   0.0510332   0.0512645 0.000313347
           4   0.0528456   0.0516598 0.000415219
           5   0.0491476   0.0511574 0.000558835
           6   0.0459196   0.0502844 0.000922996
           7   0.0476432   0.0499071  0.00086483
           8    0.049708   0.0498822 0.000757084
           9   0.0528016   0.0502066 0.000739195
          10   0.0561544   0.0508014 0.000872342
          11   0.0496796   0.0506994 0.000798977
          12   0.0475712   0.0504387 0.000773754
          13   0.0494624   0.0503636  0.00071787
          14   0.0429156   0.0498316 0.000840925
          15   0.0470944   0.0496491 0.000804419
          16   0.0532856   0.0498764 0.000785594
          17   0.0437852   0.0495181 0.000817018
          18   0.0467428   0.0493639 0.000786042
          19   0.0555928   0.0496917 0.000810157
          20   0.0506688   0.0497406 0.000771121
