#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.89503     1.89503           0
           2     1.87196     1.88349  0.00815668
           3     1.90915     1.89204  0.00885083
           4     1.91396     1.89752  0.00815944
           5     1.91622     1.90126  0.00733455
           6     1.90677     1.90218   0.0061693
           7     1.89959     1.90181  0.00529901
           8      1.8881      1.9001  0.00490581
           9     1.89258     1.89926  0.00443123
          10     1.89557     1.89889  0.00400342
          11     1.92007     1.90082   0.0040763
          12     1.90386     1.90107  0.00374449
          13     1.91292     1.90198  0.00356572
          14     1.90543     1.90223  0.00331949
          15     1.90261     1.90225  0.00309829
          16      1.9275     1.90383   0.0032818
          17     1.93772     1.90583  0.00364429
          18     1.90679     1.90588  0.00344222
          19     1.90123     1.90563  0.00326975
          20     1.90246     1.90548  0.00311011
