#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.613104   -0.613104           0
           2   -0.612426   -0.612765 0.000239568
           3   -0.612601    -0.61271 0.000165861
           4   -0.613074   -0.612801 0.000147259
           5   -0.614322   -0.613105 0.000296362
           6   -0.613562   -0.613181 0.000256535
           7   -0.613693   -0.613255 0.000230052
           8   -0.613356   -0.613267 0.000201645
           9   -0.612668   -0.613201 0.000189914
          10   -0.613485   -0.613229 0.000173035
          11   -0.613999   -0.613299 0.000170884
          12    -0.61273   -0.613252 0.000163082
          13   -0.612954   -0.613229  0.00015214
          14   -0.613901   -0.613277 0.000148653
          15   -0.613402   -0.613285 0.000138979
          16   -0.611226   -0.613156 0.000180271
          17   -0.613969   -0.613204 0.000175886
          18   -0.613878   -0.613242 0.000170046
          19   -0.613078   -0.613233 0.000161313
          20   -0.613138   -0.613228 0.000153318
