#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.038848    0.038848           0
           2   0.0359736   0.0374108  0.00101625
           3   0.0357916   0.0368711 0.000808219
           4   0.0368904   0.0368759 0.000606179
           5   0.0333792   0.0361766 0.000791474
           6   0.0325284   0.0355685 0.000862033
           7    0.032616   0.0351467  0.00083573
           8    0.036268   0.0352869 0.000742923
           9   0.0382584   0.0356171 0.000730065
          10   0.0384028   0.0358956 0.000708215
          11   0.0334316   0.0356716 0.000678333
          12   0.0338044    0.035516 0.000639403
          13   0.0359964    0.035553 0.000591285
          14   0.0312228   0.0352437 0.000624731
          15   0.0361176   0.0353019 0.000585792
          16   0.0390644   0.0355371 0.000594508
          17     0.03049   0.0352402 0.000629317
          18   0.0344144   0.0351943 0.000596025
          19   0.0398164   0.0354376  0.00061229
          20   0.0351716   0.0354243  0.00058182
