#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.27424     3.27424           0
           2     3.25996      3.2671  0.00505052
           3     3.26141      3.2652  0.00370568
           4     3.23736     3.25824   0.0066384
           5     3.25643     3.25788  0.00532059
           6     3.27393     3.26056  0.00506195
           7       3.189     3.25033    0.010411
           8     3.25919     3.25144  0.00916826
           9     3.25118     3.25141  0.00814961
          10     3.27555     3.25383  0.00768396
          11     3.28345     3.25652  0.00744236
          12     3.32806     3.26248   0.0088949
          13      3.2541     3.26184  0.00823398
          14     3.28892     3.26377  0.00786984
          15     3.32479     3.26784  0.00833036
          16      3.2628     3.26752  0.00781566
          17     3.21498     3.26443  0.00794358
          18     3.28716     3.26569  0.00760195
          19     3.27255     3.26606  0.00721041
          20     3.29593     3.26755  0.00700294
