#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.61063     3.61063           0
           2      3.6027     3.60667  0.00280384
           3     3.52937      3.5809   0.0211199
           4     3.59251      3.5838    0.016038
           5     3.53441     3.57392   0.0155788
           6     3.58945     3.57651   0.0131955
           7     3.58338     3.57749   0.0113468
           8      3.5871     3.57869  0.00999172
           9     3.59409      3.5804  0.00902674
          10     3.61277     3.58364  0.00868502
          11     3.57331      3.5827  0.00794608
          12     3.59595     3.58381   0.0073602
          13     3.60129     3.58515  0.00691586
          14     3.54146     3.58203    0.007091
          15     3.59304     3.58276  0.00665612
          16     3.62984     3.58571  0.00685964
          17     3.59342     3.58616  0.00647112
          18     3.56338     3.58489  0.00623409
          19      3.5471     3.58291  0.00621522
          20     3.60729     3.58412  0.00602289
