#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0545168   0.0545168           0
           2   0.0553972    0.054957 0.000311268
           3   0.0565668   0.0554936  0.00048479
           4     0.05738   0.0559652 0.000546813
           5   0.0504984   0.0548718  0.00107131
           6   0.0509144   0.0542123  0.00107683
           7   0.0505008   0.0536821  0.00104541
           8    0.053862   0.0537045 0.000914974
           9   0.0576628   0.0541444 0.000912913
          10   0.0604608    0.054776  0.00101693
          11    0.052666   0.0545842 0.000942396
          12   0.0497364   0.0541802 0.000946499
          13   0.0543464    0.054193 0.000873778
          14   0.0480136   0.0537516 0.000916088
          15   0.0509068   0.0535619 0.000874427
          16   0.0572556   0.0537928 0.000849702
          17    0.048338   0.0534719 0.000858169
          18    0.052562   0.0534214  0.00081198
          19   0.0585792   0.0536928 0.000813358
          20   0.0539152    0.053704 0.000772766
