#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.716498    0.716498           0
           2    0.689593    0.703046  0.00951228
           3    0.688675    0.698255  0.00745063
           4    0.733891    0.707164  0.00952633
           5    0.715451    0.708822  0.00776388
           6    0.729989     0.71235  0.00722714
           7    0.674399    0.706928  0.00797297
           8    0.719955    0.708556   0.0071407
           9    0.666284    0.703859  0.00773941
          10    0.655428    0.699016  0.00834437
          11     0.64669    0.694259   0.0088383
          12    0.614732    0.687632   0.0102907
          13    0.581455    0.679465   0.0123211
          14    0.641138    0.676727   0.0117412
          15    0.665712    0.675993   0.0109814
          16    0.646337    0.674139   0.0104503
          17    0.639968    0.672129    0.010027
          18    0.683918    0.672784  0.00949135
          19    0.672046    0.672745  0.00899189
          20      0.7181    0.675013  0.00882362
