#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00707404    0.436669           0
           2  0.00701173    0.434746  0.00135981
           3  0.00695699    0.432979  0.00170426
           4  0.00699128    0.432624  0.00131455
           5  0.00707585    0.433455  0.00128796
           6  0.00699854    0.433214  0.00109563
           7  0.00707869    0.433749  0.00106155
           8  0.00698337    0.433414 0.000980154
           9  0.00711892    0.434084  0.00107585
          10  0.00705629    0.434233 0.000978523
          11  0.00711656    0.434693 0.000991846
          12  0.00702135    0.434586 0.000914876
          13  0.00701155     0.43445 0.000854622
          14  0.00703827    0.434451 0.000793578
          15  0.00700495    0.434314 0.000752307
          16  0.00708605    0.434508  0.00072975
          17  0.00722883    0.435197 0.000958522
          18  0.00705163    0.435202 0.000905284
          19  0.00706672    0.435255 0.000859213
          20   0.0069207    0.434853 0.000905671
