#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.870429   -0.870429           0
           2   -0.871046   -0.870738 0.000218355
           3   -0.868446   -0.869974 0.000640563
           4     -0.8721   -0.870505 0.000665398
           5   -0.869136   -0.870231 0.000585964
           6   -0.868636   -0.869965 0.000545304
           7   -0.869872   -0.869952 0.000467567
           8   -0.870451   -0.870014 0.000413262
           9   -0.868654   -0.869863 0.000394038
          10   -0.870983   -0.869975 0.000370207
          11   -0.869256    -0.86991 0.000342278
          12   -0.871735   -0.870062 0.000345906
          13   -0.871479   -0.870171 0.000336038
          14   -0.870318   -0.870181 0.000312198
          15   -0.870398   -0.870196  0.00029172
          16   -0.870634   -0.870223 0.000274766
          17    -0.86973   -0.870194 0.000260134
          18   -0.873729   -0.870391 0.000311089
          19   -0.870992   -0.870422 0.000296321
          20   -0.871581    -0.87048 0.000287111
