#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.19807     0.19807           0
           2    0.196056    0.197063 0.000711915
           3    0.206189    0.200105  0.00252883
           4    0.202803    0.200779  0.00198455
           5    0.193894    0.199402  0.00200941
           6    0.205402    0.200402  0.00190717
           7     0.19879    0.200172  0.00164857
           8    0.204554     0.20072  0.00153079
           9    0.189501    0.199473  0.00179799
          10    0.197145     0.19924   0.0016332
          11    0.214266    0.200606  0.00197502
          12    0.203618    0.200857  0.00182631
          13      0.2039    0.201091  0.00170076
          14    0.207443    0.201545  0.00163867
          15    0.189208    0.200723   0.0017235
          16    0.202359    0.200825  0.00161882
          17    0.191023    0.200248  0.00162303
          18    0.198016    0.200124  0.00153759
          19    0.189271    0.199553  0.00155917
          20    0.220737    0.200612  0.00180548
