#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0463864   0.0463864           0
           2   0.0407988   0.0435926  0.00197551
           3    0.039146   0.0421104  0.00178861
           4   0.0432952   0.0424066  0.00136576
           5   0.0450512   0.0429355  0.00119063
           6   0.0454708   0.0433581  0.00106453
           7   0.0442744    0.043489 0.000920472
           8   0.0452956   0.0437148 0.000832655
           9    0.041158   0.0434307  0.00078711
          10   0.0441792   0.0435056 0.000711949
          11   0.0437492   0.0435277 0.000647571
          12   0.0499364   0.0440618 0.000783466
          13     0.04475   0.0441147 0.000724985
          14   0.0426508   0.0440101   0.0006807
          15   0.0476868   0.0442553 0.000678016
          16   0.0470956   0.0444328 0.000658469
          17   0.0431176   0.0443554 0.000624264
          18   0.0443956   0.0443576 0.000589587
          19   0.0443196   0.0443556 0.000558559
          20   0.0432772   0.0443017 0.000533228
