#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.48621     1.48621           0
           2     1.50122     1.49372   0.0053097
           3     1.48999     1.49247  0.00368209
           4     1.50261     1.49501  0.00352681
           5     1.51677     1.49936  0.00480729
           6     1.52513     1.50365  0.00560581
           7     1.51174     1.50481  0.00492244
           8     1.52269     1.50704  0.00478786
           9     1.51094     1.50748  0.00427539
          10     1.53283     1.51001   0.0045376
          11     1.52026     1.51094  0.00421966
          12     1.48832     1.50906   0.0042685
          13     1.54414     1.51176  0.00471652
          14     1.51484     1.51198  0.00438475
          15     1.50509     1.51152  0.00411643
          16     1.52059     1.51208  0.00389798
          17     1.53128     1.51321  0.00382875
          18      1.4905     1.51195   0.0038184
          19     1.51155     1.51193  0.00361749
          20     1.51912     1.51229  0.00345445
