#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.3367     10.3367           0
           2     10.3656     10.3512   0.0102257
           3     10.3377     10.3467  0.00774086
           4     10.5141     10.3885   0.0367019
           5      9.9392     10.2987   0.0855706
           6     10.2283     10.2869   0.0721066
           7     10.1055      10.261   0.0662984
           8     10.3055     10.2666   0.0582434
           9     10.1593     10.2547   0.0529774
          10     10.3833     10.2675   0.0492165
          11     10.1669     10.2584   0.0455845
          12     10.2965     10.2616   0.0418966
          13       10.61     10.2884   0.0464633
          14      9.9979     10.2676   0.0475515
          15     10.2604     10.2671   0.0443838
          16     10.2396     10.2654   0.0416431
          17     10.6708     10.2893   0.0455129
          18     10.5048     10.3012   0.0445313
          19      10.193     10.2955   0.0425505
          20     10.2344     10.2925   0.0405327
