#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.583182   -0.583182           0
           2   -0.582496   -0.582839 0.000242679
           3   -0.582074   -0.582584 0.000263804
           4   -0.582302   -0.582514 0.000207034
           5   -0.583798   -0.582771 0.000283293
           6   -0.582863   -0.582786 0.000236498
           7   -0.581895   -0.582659 0.000234464
           8   -0.582858   -0.582684 0.000206469
           9   -0.582625   -0.582677 0.000183632
          10   -0.583692   -0.582779 0.000191271
          11   -0.583268   -0.582823 0.000178983
          12   -0.582999   -0.582838 0.000164669
          13   -0.583182   -0.582864 0.000154121
          14   -0.582296   -0.582824 0.000148361
          15   -0.581755   -0.582752 0.000154627
          16   -0.582581   -0.582742 0.000145335
          17   -0.582815   -0.582746  0.00013685
          18   -0.582618   -0.582739 0.000129433
          19   -0.583256   -0.582766 0.000125449
          20   -0.583524   -0.582804 0.000124769
