#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.74324    -0.74324           0
           2   -0.739863   -0.741552  0.00119388
           3   -0.741674   -0.741592 0.000796612
           4    -0.74101   -0.741447 0.000610632
           5   -0.741723   -0.741502 0.000491005
           6    -0.74227    -0.74163 0.000425548
           7   -0.740942   -0.741532 0.000375947
           8   -0.740846   -0.741446 0.000338571
           9   -0.740333   -0.741322 0.000322756
          10   -0.741443   -0.741334 0.000290707
          11   -0.740568   -0.741265   0.0002725
          12   -0.740792   -0.741225 0.000252623
          13   -0.741204   -0.741224 0.000233196
          14    -0.74094   -0.741203 0.000217418
          15   -0.740394   -0.741149 0.000209506
          16   -0.741023   -0.741142 0.000196561
          17   -0.741995   -0.741192 0.000191304
          18   -0.741185   -0.741191 0.000180677
          19   -0.742014   -0.741235 0.000176283
          20   -0.740601   -0.741203 0.000170295
