#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.666223   -0.666223           0
           2   -0.664059   -0.665141  0.00076509
           3   -0.664552   -0.664945 0.000534674
           4   -0.665451   -0.665071 0.000415724
           5   -0.664428   -0.664943 0.000351931
           6   -0.664671   -0.664897 0.000296171
           7   -0.662726   -0.664587 0.000383352
           8   -0.664636   -0.664593 0.000335481
           9   -0.663402   -0.664461 0.000323282
          10   -0.664346   -0.664449 0.000291159
          11    -0.66459   -0.664462 0.000264969
          12   -0.665003   -0.664507 0.000246695
          13   -0.663858   -0.664457 0.000232724
          14   -0.663098    -0.66436 0.000235473
          15   -0.662702    -0.66425 0.000244337
          16   -0.664525   -0.664267 0.000229671
          17   -0.664538   -0.664283 0.000216712
          18   -0.663764   -0.664254  0.00020658
          19   -0.663762   -0.664228 0.000197321
          20   -0.664581   -0.664246 0.000188241
