#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.816402    0.816402           0
           2    0.819449    0.817926  0.00107707
           3    0.776709    0.804187   0.0112406
           4    0.838883    0.812861   0.0112917
           5    0.838944    0.818077   0.0101672
           6     0.82929    0.819946  0.00864269
           7    0.799268    0.816992  0.00789674
           8    0.834309    0.819157  0.00720022
           9    0.775182    0.814271  0.00788569
          10    0.788851    0.811729  0.00749564
          11    0.720194    0.803407   0.0104586
          12    0.743864    0.798445   0.0106996
          13    0.738186     0.79381   0.0108342
          14    0.790154    0.793549   0.0100635
          15    0.765858    0.791703  0.00956038
          16    0.731482    0.787939  0.00967541
          17    0.790798    0.788107  0.00910773
          18    0.804893     0.78904  0.00864936
          19    0.819732    0.790655  0.00834361
          20     0.85018    0.793631  0.00844058
