#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0310924   0.0310924           0
           2   0.0280464   0.0295694  0.00107692
           3   0.0276992    0.028946 0.000880077
           4     0.03061    0.029362 0.000751976
           5   0.0354532   0.0305802  0.00124466
           6    0.030896   0.0306329  0.00103833
           7   0.0308764   0.0306677 0.000890581
           8   0.0317732   0.0308058 0.000789907
           9    0.029918   0.0307072 0.000708273
          10   0.0350124   0.0311377 0.000757067
          11   0.0265512   0.0307208 0.000794812
          12   0.0310644   0.0307494 0.000729093
          13   0.0320632   0.0308505 0.000679977
          14   0.0296712   0.0307662 0.000636603
          15   0.0326404   0.0308912   0.0006063
          16   0.0304016   0.0308606 0.000569178
          17   0.0306944   0.0308508 0.000535781
          18     0.03015   0.0308119 0.000507428
          19    0.029076   0.0307205 0.000488877
          20   0.0272452   0.0305467 0.000494351
