#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.952831   -0.952831           0
           2    -0.95293   -0.952881 3.50725e-05
           3   -0.954018    -0.95326 0.000310497
           4   -0.959678   -0.954864  0.00140883
           5   -0.955794    -0.95505  0.00113928
           6   -0.955998   -0.955208 0.000960291
           7   -0.954792   -0.955149 0.000824947
           8   -0.955355   -0.955175 0.000722231
           9   -0.956103   -0.955278  0.00064931
          10   -0.954838   -0.955234  0.00058587
          11   -0.958199   -0.955503 0.000591387
          12   -0.956337   -0.955573 0.000546167
          13   -0.955594   -0.955574 0.000504156
          14   -0.958957   -0.955816 0.000522838
          15   -0.957733   -0.955944 0.000503355
          16   -0.955838   -0.955937 0.000471938
          17   -0.957443   -0.956026 0.000452415
          18   -0.957553   -0.956111 0.000435161
          19   -0.958554   -0.956239 0.000430834
          20   -0.957042   -0.956279 0.000411156
