#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.598086   -0.598086           0
           2   -0.597016   -0.597551 0.000378161
           3     -0.5975   -0.597534 0.000252486
           4   -0.597198    -0.59745 0.000202878
           5   -0.598338   -0.597627 0.000227077
           6   -0.597181   -0.597553 0.000201058
           7   -0.597772   -0.597584 0.000174754
           8   -0.597975   -0.597633 0.000159597
           9   -0.597866   -0.597659 0.000143954
          10   -0.597897   -0.597683 0.000131508
          11   -0.598422    -0.59775 0.000135623
          12   -0.597306   -0.597713 0.000129278
          13    -0.59675   -0.597639 0.000138928
          14   -0.599142   -0.597746 0.000165383
          15   -0.597808    -0.59775 0.000154409
          16   -0.596796   -0.597691 0.000155855
          17   -0.598573   -0.597743 0.000155083
          18   -0.598398   -0.597779 0.000150676
          19   -0.597847   -0.597783 0.000142788
          20   -0.597714   -0.597779  0.00013569
