#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.472075   -0.472075           0
           2   -0.471818   -0.471946 9.10754e-05
           3   -0.472349   -0.472081 0.000125224
           4   -0.472211   -0.472113 9.80863e-05
           5   -0.472396    -0.47217 9.33628e-05
           6   -0.471607   -0.472076 0.000115668
           7    -0.47219   -0.472092 0.000100292
           8   -0.472243   -0.472111 8.95103e-05
           9   -0.471807   -0.472077 8.57013e-05
          10   -0.471997   -0.472069 7.75095e-05
          11   -0.472304   -0.472091 7.33396e-05
          12   -0.471651   -0.472054 7.58232e-05
          13   -0.473078   -0.472133 0.000103101
          14   -0.472456   -0.472156  9.8286e-05
          15   -0.471507   -0.472113 0.000100801
          16   -0.472268   -0.472122 9.49673e-05
          17   -0.472421    -0.47214 9.09887e-05
          18   -0.472375   -0.472153 8.68673e-05
          19   -0.471909    -0.47214 8.32409e-05
          20   -0.473887   -0.472228 0.000116199
