#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.02857     2.02857           0
           2     2.04822     2.03839  0.00694439
           3     2.01291      2.0299  0.00833878
           4       2.012     2.02543  0.00735729
           5     2.04595     2.02953  0.00693695
           6      2.0454     2.03218  0.00626482
           7      2.0256     2.03124  0.00543989
           8      2.0547     2.03417   0.0054942
           9     2.04232     2.03507  0.00495777
          10     2.07405     2.03897  0.00579488
          11     2.05419     2.04036  0.00543062
          12      2.0051     2.03742  0.00571794
          13     2.05898     2.03908  0.00551343
          14     2.03396     2.03871  0.00513171
          15     2.03341     2.03836  0.00480173
          16      2.0243     2.03748  0.00458134
          17     2.07086     2.03944  0.00471387
          18     1.99415     2.03693  0.00507923
          19     2.01581     2.03581  0.00493203
          20     2.03973     2.03601  0.00468931
