#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.528547   -0.528547           0
           2    -0.52745   -0.527999 0.000387777
           3   -0.527574   -0.527857 0.000283149
           4   -0.529687   -0.528315 0.000449505
           5   -0.528364   -0.528325 0.000359711
           6   -0.527234   -0.528143 0.000342593
           7   -0.528837   -0.528242 0.000307657
           8   -0.528865    -0.52832 0.000278874
           9   -0.528602   -0.528351 0.000249648
          10   -0.528644   -0.528381 0.000226393
          11   -0.529702   -0.528501 0.000235521
          12   -0.528172   -0.528473 0.000217481
          13   -0.528674   -0.528489 0.000201301
          14   -0.528541   -0.528492 0.000186957
          15    -0.52833   -0.528482 0.000174808
          16   -0.528602   -0.528489 0.000164043
          17   -0.528815   -0.528508 0.000155511
          18    -0.52965   -0.528572 0.000159291
          19   -0.528451   -0.528565 0.000151034
          20   -0.528766   -0.528575 0.000143813
