#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.582627    0.582627           0
           2    0.710796    0.646711   0.0453144
           3    0.654973    0.649465   0.0302931
           4       0.645    0.648349   0.0227404
           5      0.6806    0.654799   0.0190852
           6    0.660203      0.6557   0.0159256
           7    0.688121    0.660331   0.0143082
           8     0.71334    0.666957   0.0139699
           9    0.674062    0.667747     0.01244
          10    0.688474     0.66982   0.0113673
          11    0.708386    0.673326   0.0108612
          12    0.702579    0.675763    0.010226
          13    0.640521    0.673052  0.00979213
          14    0.655292    0.671784   0.0091745
          15    0.714206    0.674612  0.00898821
          16    0.640408    0.672474  0.00867695
          17    0.652169     0.67128  0.00824834
          18    0.619471    0.668401  0.00827707
          19    0.684464    0.669247  0.00788449
          20    0.669717     0.66927   0.0074903
