#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.793047    0.793047           0
           2    0.815522    0.804285  0.00794618
           3     0.79891    0.802493  0.00549572
           4    0.735734    0.785803   0.0150301
           5    0.798206    0.788284   0.0122271
           6    0.794307    0.789288   0.0102303
           7    0.803724     0.79135  0.00897432
           8    0.764353    0.787975  0.00846326
           9    0.787226    0.787892  0.00752331
          10    0.791933    0.788296  0.00678182
          11    0.803494    0.789678  0.00630446
          12     0.81821    0.792055  0.00621128
          13    0.785524    0.791553  0.00575377
          14    0.841428    0.795116   0.0063506
          15    0.810596    0.796148  0.00601049
          16    0.754456    0.793542  0.00617388
          17    0.753643    0.791195  0.00624089
          18    0.804621    0.791941  0.00593858
          19    0.817556    0.793289  0.00577703
          20    0.771475    0.792198  0.00559019
