#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.05098     2.05098           0
           2     2.00745     2.02922   0.0153906
           3     2.05826      2.0389   0.0129517
           4     2.04307     2.03994  0.00975571
           5     2.03016     2.03799  0.00799825
           6     2.03417     2.03735  0.00669042
           7     2.03479     2.03698  0.00574466
           8     2.04209     2.03762  0.00506188
           9     2.03785     2.03765  0.00449952
          10     2.05006     2.03889   0.0042173
          11     2.04373     2.03933  0.00385683
          12     2.06955     2.04185  0.00427928
          13     2.07652     2.04451  0.00470868
          14      2.0264     2.04322  0.00454657
          15     2.00031     2.04036  0.00506412
          16     2.02458     2.03937   0.0048427
          17     2.05326     2.04019  0.00462624
          18     2.04282     2.04034  0.00437154
          19     2.04285     2.04047  0.00414345
          20     2.02512      2.0397  0.00400671
