#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     23.6479     23.6479           0
           2     25.2056     24.4268    0.550723
           3     23.9659     24.2731    0.387989
           4     25.1871     24.5016    0.351897
           5     24.9823     24.5978    0.294354
           6      25.156     24.6908    0.259584
           7        25.1     24.7493    0.228987
           8     24.4608     24.7132    0.203182
           9     24.9599     24.7406    0.182446
          10     24.7562     24.7422    0.164208
          11     24.4363     24.7144    0.151617
          12     24.3488     24.6839     0.14201
          13     25.0678     24.7134    0.134121
          14     24.1474      24.673    0.130493
          15     25.5886      24.734    0.135319
          16     24.6662     24.7298    0.126927
          17     25.3628      24.767    0.124803
          18     23.8588     24.7166    0.127664
          19     24.4112     24.7005    0.121952
          20     24.9315     24.7121      0.1164
