#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0308384   0.0308384           0
           2     0.02792   0.0293792  0.00103181
           3   0.0286356   0.0291313 0.000717028
           4   0.0279244   0.0288296 0.000597896
           5   0.0319432   0.0294523 0.000734174
           6   0.0258288   0.0288484 0.000823557
           7   0.0273152   0.0286294 0.000734454
           8   0.0288956   0.0286626 0.000643401
           9   0.0293308   0.0287369 0.000576179
          10   0.0278792   0.0286511 0.000524906
          11    0.027088    0.028509 0.000496049
          12   0.0291168   0.0285597  0.00045729
          13   0.0274148   0.0284716 0.000430511
          14   0.0295728   0.0285503 0.000406882
          15   0.0297104   0.0286276 0.000387038
          16    0.032174   0.0288492 0.000421565
          17   0.0278796   0.0287922 0.000400607
          18   0.0302444   0.0288729 0.000386389
          19     0.02839   0.0288475 0.000366888
          20   0.0313232   0.0289713 0.000368835
