#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.300193    0.300193           0
           2     0.27078    0.285487   0.0103991
           3    0.266664    0.279212  0.00862014
           4    0.301093    0.284683  0.00801498
           5    0.288058    0.285358  0.00644036
           6    0.268724    0.282586  0.00593369
           7    0.302156    0.285381  0.00570681
           8    0.320994    0.289833  0.00650182
           9    0.263416    0.286898   0.0064078
          10    0.290826     0.28729  0.00577904
          11    0.297456    0.288215  0.00532705
          12    0.290363    0.288394  0.00488614
          13    0.305897     0.28974  0.00469212
          14    0.286528    0.289511  0.00436257
          15    0.286374    0.289301  0.00407675
          16    0.290733    0.289391  0.00382293
          17    0.314031     0.29084  0.00386306
          18    0.301017    0.291406  0.00368958
          19    0.286494    0.291147  0.00350444
          20     0.31407    0.292293  0.00351165
