#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0158726    0.198407           0
           2   0.0157826    0.197845 0.000397799
           3   0.0156612    0.197151  0.00062511
           4   0.0157367    0.197041 0.000478551
           5   0.0157716    0.197062   0.0003833
           6   0.0157126    0.196953 0.000334548
           7   0.0157601    0.196959 0.000286826
           8    0.015673    0.196829 0.000279251
           9   0.0156715    0.196725 0.000266847
          10   0.0157412    0.196729 0.000240192
          11   0.0157191    0.196707 0.000219342
          12   0.0157079    0.196677 0.000203083
          13   0.0157713    0.196713 0.000190576
          14   0.0157209    0.196698 0.000177504
          15   0.0157213    0.196686 0.000166086
          16   0.0156578    0.196626 0.000166264
          17   0.0157049    0.196607  0.00015751
          18   0.0157053    0.196591  0.00014959
          19   0.0157464    0.196604 0.000142241
          20    0.015754     0.19662  0.00013603
