#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00961774    0.397427           0
           2  0.00962534    0.397584 0.000111112
           3  0.00946727    0.395459  0.00173652
           4  0.00959351    0.395701  0.00131911
           5  0.00954237    0.395423  0.00108411
           6   0.0095921    0.395581 0.000914775
           7  0.00950342     0.39517 0.000871567
           8  0.00961021    0.395413 0.000795854
           9  0.00959936    0.395552 0.000719533
          10  0.00958115    0.395589 0.000648493
          11  0.00957934    0.395612 0.000589944
          12  0.00963843    0.395834 0.000581242
          13  0.00959986      0.3959 0.000540232
          14  0.00961285    0.395995 0.000509869
          15  0.00958293    0.395994 0.000475878
          16  0.00963373    0.396125 0.000463779
          17  0.00961772    0.396202  0.00044277
          18  0.00967071    0.396391 0.000457009
          19  0.00967774    0.396576 0.000468916
          20  0.00957217    0.396525   0.0004483
