#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0111566     0.35701           0
           2   0.0111543    0.356973  2.5941e-05
           3   0.0112239    0.357704 0.000596541
           4   0.0111579    0.357541 0.000469013
           5   0.0112138    0.357802  0.00044156
           6   0.0110709    0.357213  0.00065119
           7    0.011166    0.357227 0.000558314
           8   0.0112761    0.357678 0.000645421
           9   0.0111509    0.357584  0.00058055
          10   0.0112043    0.357679 0.000530265
          11   0.0111545    0.357612 0.000486268
          12   0.0112394    0.357783 0.000474784
          13   0.0111886    0.357802 0.000438663
          14   0.0111439    0.357717 0.000415585
          15   0.0111608    0.357679 0.000389628
          16   0.0111698    0.357663 0.000365577
          17   0.0111536    0.357619 0.000346722
          18   0.0111072    0.357498 0.000348127
          19   0.0113504    0.357798  0.00044096
          20   0.0111193    0.357699 0.000429888
