#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0116405    0.344393           0
           2   0.0116627    0.344722 0.000232642
           3   0.0116178    0.344389 0.000312874
           4    0.011572    0.343884 0.000496435
           5      0.0118     0.34493  0.00101627
           6    0.011699    0.345129 0.000866155
           7   0.0116535    0.345078 0.000743874
           8    0.011781    0.345512 0.000767093
           9   0.0115906    0.345224 0.000734113
          10   0.0117346    0.345419 0.000686239
          11   0.0116247    0.345284 0.000637132
          12   0.0116981    0.345352 0.000587646
          13   0.0117473    0.345521  0.00056635
          14   0.0115839    0.345321 0.000560128
          15   0.0116607    0.345299 0.000523215
          16   0.0116679    0.345293 0.000490547
          17   0.0115498    0.345082 0.000504972
          18   0.0116759    0.345102  0.00047731
          19   0.0117488    0.345234 0.000469919
          20   0.0116886    0.345263 0.000447324
