#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.17625     2.17625           0
           2     2.19231     2.18428  0.00567736
           3     2.14783     2.17213   0.0106195
           4      2.1458     2.16555   0.0097941
           5     2.19197     2.17083  0.00915056
           6     2.18215     2.17272  0.00781735
           7     2.17751      2.1734  0.00673044
           8     2.19814     2.17649  0.00656128
           9      2.2055     2.17972   0.0065762
          10     2.22693     2.18444  0.00742245
          11     2.19198     2.18512  0.00677928
          12     2.16388     2.18335  0.00644127
          13     2.19834     2.18451  0.00604812
          14     2.17884      2.1841  0.00562966
          15     2.17456     2.18347  0.00529017
          16     2.16147     2.18209  0.00513513
          17     2.21416     2.18398  0.00516794
          18     2.12488     2.18069  0.00583114
          19     2.15856     2.17953  0.00563944
          20     2.19354     2.18023  0.00540078
