#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.568473   -0.568473           0
           2   -0.568323   -0.568398 5.28916e-05
           3    -0.56815   -0.568315  7.6056e-05
           4   -0.568304   -0.568313  5.7096e-05
           5   -0.569579   -0.568566 0.000231135
           6   -0.567903   -0.568455 0.000217408
           7   -0.567974   -0.568387 0.000196912
           8   -0.568607   -0.568414 0.000174216
           9   -0.568829    -0.56846 0.000160831
          10   -0.568206   -0.568435 0.000146739
          11   -0.568875   -0.568475  0.00013875
          12   -0.567926   -0.568429 0.000134508
          13   -0.567332   -0.568345 0.000148297
          14   -0.569127   -0.568401 0.000147859
          15   -0.567678   -0.568353 0.000145633
          16   -0.568609   -0.568369 0.000137408
          17   -0.569426   -0.568431 0.000142701
          18   -0.568673   -0.568444 0.000135405
          19   -0.568518   -0.568448 0.000128334
          20   -0.568583   -0.568455 0.000122095
