#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.528799   -0.528799           0
           2     -0.5279    -0.52835 0.000317915
           3   -0.528095   -0.528265 0.000222967
           4   -0.528418   -0.528303   0.0001705
           5   -0.529282   -0.528499 0.000221895
           6   -0.528538   -0.528505  0.00018501
           7   -0.528188    -0.52846 0.000164045
           8   -0.528829   -0.528506 0.000149873
           9   -0.528286   -0.528482  0.00013521
          10   -0.528924   -0.528526  0.00012872
          11   -0.528774   -0.528549 0.000118984
          12   -0.528338   -0.528531 0.000110359
          13   -0.529578   -0.528611 0.000127911
          14   -0.529198   -0.528653 0.000125457
          15   -0.526795   -0.528529 0.000167432
          16    -0.52909   -0.528564 0.000160586
          17   -0.529254   -0.528605 0.000156172
          18   -0.528966   -0.528625  0.00014878
          19   -0.529021   -0.528646   0.0001424
          20   -0.530134    -0.52872 0.000153501
