#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.723189   -0.723189           0
           2   -0.719945   -0.721567  0.00114693
           3   -0.720942   -0.721358 0.000783323
           4   -0.721504   -0.721395 0.000588337
           5   -0.721485   -0.721413 0.000470945
           6   -0.721549   -0.721435 0.000392999
           7   -0.720913   -0.721361 0.000343876
           8   -0.720737   -0.721283 0.000309612
           9   -0.720358    -0.72118 0.000291778
          10   -0.721444   -0.721206 0.000263792
          11   -0.720903   -0.721179 0.000241247
          12   -0.720598    -0.72113 0.000225953
          13   -0.720113   -0.721052 0.000221716
          14   -0.720458    -0.72101 0.000209896
          15   -0.720214   -0.720957 0.000202489
          16   -0.721497    -0.72099 0.000192627
          17    -0.72127   -0.721007 0.000181994
          18   -0.720762   -0.720993  0.00017239
          19   -0.721702   -0.721031 0.000167308
          20   -0.720553   -0.721007 0.000160639
