#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     33.0293     33.0293           0
           2     32.5157     32.7725    0.181568
           3     31.5008     32.3486    0.366653
           4     33.4205     32.6166    0.359826
           5       33.98     32.8893    0.377298
           6     33.3417     32.9647    0.321862
           7     32.4147     32.8861    0.285308
           8     32.5553     32.8448    0.252623
           9     34.0683     32.9807     0.25856
          10     32.0403     32.8867     0.24922
          11     33.2833     32.9227    0.229158
          12     32.8958     32.9205    0.210072
          13     32.4015     32.8806     0.19767
          14     33.8457     32.9495    0.195201
          15     33.6368     32.9953    0.187488
          16     32.0352     32.9353    0.185123
          17     34.9701      33.055    0.209383
          18     31.8331     32.9871    0.208465
          19     32.6905     32.9715    0.198077
          20     31.7599     32.9109    0.197219
